,magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,depth,latitude,longitude,day,evening,morning,night,Mi,mb,md,ml,ms,mw,mwb,mwc,mww,ak,at,ci,duputel,hv,nc,nn,official,pt,us,uw
144,6.8,9,7,1,825,0,0.546,39.0,18.0,6.6969,125.174,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
145,7.1,6,6,1,799,0,1.271,11.0,33.0,1.6213,126.416,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
146,6.5,0,2,0,650,0,4.765,25.0,577.0,-21.9449,-179.511,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
147,6.6,4,4,1,673,0,5.086,48.0,10.0,-18.5747,-175.272,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
148,6.5,9,7,1,733,0,0.428,19.0,10.0,6.9098,125.178,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
149,6.6,9,7,1,780,0,0.646,24.0,15.0,6.7567,125.008,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
150,6.7,7,6,1,844,0,1.269,98.0,11.0,-35.4758,-73.163,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
151,6.5,7,7,1,656,0,3.909,15.0,12.26,-3.4528,128.37,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
152,6.6,2,3,1,671,0,4.121,19.0,591.0,-20.3641,-178.57,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
153,6.6,0,4,1,670,0,12.896,19.0,16.0,-60.2152,-26.5801,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
